Date,HDFC Bank,ICICI Bank,Axis Bank,SBIN,Kotak Bank
2016,569,203,486,177,718
2016,573,206,491,185,708
2016,568,211,493,189,727
2016,571,204,498,185,732
2016,569,205,488,190,723
2016,559,205,477,189,714
2016,565,199,461,184,703
2016,562,195,461,180,709
2016,558,195,462,180,713
2016,558,201,471,184,707
2016,565,206,472,186,718
2016,556,215,472,189,717
2016,561,218,468,192,701
2016,556,222,466,196,713
2016,545,231,480,201,701
2016,545,230,470,197,680
2016,544,229,476,200,676
2016,548,230,468,194,687
2016,543,216,459,187,687
2016,540,216,445,187,683
2016,530,219,441,192,692
2016,534,208,434,188,677
2016,529,204,430,188,671
2016,527,201,422,183,665
2016,530,200,427,182,663
2016,528,202,425,184,668
2016,533,205,433,184,669
2016,531,217,445,195,687
2016,534,217,450,196,680
2016,531,215,444,194,681
2016,526,216,444,198,684
2016,523,203,429,190,672
2016,524,205,423,188,670
2016,526,213,438,197,660
2016,522,212,441,198,666
2016,513,214,445,197,664
2016,508,209,436,191,659
2016,514,207,428,186,651
2016,512,206,425,185,651
2016,513,201,419,185,640
2016,513,202,415,182,637
2016,509,194,413,180,643
2016,511,196,413,181,655
2016,506,197,417,183,660
2016,509,197,412,183,651
2016,507,200,416,188,666
2016,502,198,417,183,658
2016,491,200,407,181,656
2016,485,186,392,162,638
2016,479,173,376,159,630
2016,470,168,386,156,616
2016,474,166,378,152,607
2016,484,170,387,156,619
2016,493,175,385,159,623
2016,494,180,397,165,640
2016,494,181,393,165,631
2016,486,178,398,160,636
2016,486,173,403,159,625
2016,486,179,406,156,620
2016,485,185,418,168,625
2016,487,176,391,155,622
2016,505,181,377,154,629
2016,512,188,394,159,667
2016,517,190,400,167,677
2016,526,190,409,172,673
2016,523,190,400,168,692
2016,521,185,383,163,676
2016,526,186,381,166,666
2016,529,191,391,169,677
2016,524,197,399,173,688
2016,515,209,408,180,684
2016,517,212,406,185,663
2016,519,216,415,184,675
2016,514,215,421,183,681
2016,510,212,424,185,683
2016,508,206,409,176,661
2016,517,204,388,174,663
2016,512,208,393,183,669
2016,520,203,373,181,667
2016,524,204,374,184,676
2016,529,214,391,196,684
2016,522,218,407,201,689
2016,528,215,406,199,692
2016,530,218,417,204,701
2016,527,223,414,209,695
2016,532,224,409,210,692
2016,530,227,431,217,704
2016,534,233,436,218,708
2016,543,232,438,221,705
2016,540,239,450,228,727
2017,937,314,564,310,1010
2017,926,315,547,308,1005
2017,932,313,555,315,1014
2017,936,318,555,317,1016
2017,932,317,554,320,1010
2017,932,315,549,317,1011
2017,940,316,555,318,1013
2017,937,314,554,320,1021
2017,935,309,549,319,1023
2017,917,303,548,312,1030
2017,909,304,541,314,1025
2017,908,303,536,313,1015
2017,921,308,539,318,1000
2017,918,311,545,318,1009
2017,903,311,543,313,1009
2017,900,306,534,316,1002
2017,908,300,531,312,1000
2017,915,305,533,319,1000
2017,922,304,535,314,998
2017,925,305,534,313,1005
2017,935,308,535,320,1000
2017,931,315,550,329,1026
2017,927,313,563,332,1030
2017,924,317,559,336,1036
2017,919,317,546,332,1030
2017,926,319,544,335,1022
2017,921,319,541,335,1026
2017,917,320,547,331,1030
2017,911,319,545,333,1041
2017,902,325,542,338,1023
2017,898,319,543,333,1017
2017,899,316,542,325,1012
2017,905,314,546,329,999
2017,909,314,537,331,995
2017,912,319,545,334,993
2017,911,311,540,314,1005
2017,910,306,545,310,1011
2017,912,312,527,317,1013
2017,913,316,535,329,1010
2017,909,316,540,325,1016
2017,909,317,532,314,1020
2017,902,313,535,320,1024
2017,905,300,523,306,1025
2017,894,301,484,312,1029
2017,896,301,486,311,1029
2017,896,299,484,321,1019
2017,931,306,473,325,1011
2017,930,267,452,254,1066
2017,922,263,450,246,1062
2017,932,258,460,243,1078
2017,924,263,465,244,1096
2017,927,274,513,251,1079
2017,923,274,520,252,1083
2017,907,271,529,252,1082
2017,893,268,525,251,1058
2017,899,268,516,252,1044
2017,896,270,515,257,1056
2017,898,272,506,257,1050
2017,897,272,503,257,1040
2017,897,272,501,252,1033
2017,902,276,506,253,1029
2017,901,278,510,251,1007
2017,896,277,509,254,1002
2017,886,276,512,253,1005
2017,894,276,506,250,980
2017,898,283,512,258,994
2017,910,280,502,259,1000
2017,918,277,505,262,1022
2017,922,285,513,269,1029
2017,923,291,519,270,1023
2017,928,295,521,268,1034
2017,922,293,525,270,1017
2017,918,292,516,272,1005
2017,919,294,520,274,1008
2017,916,292,499,273,1020
2017,910,291,497,273,1022
2017,892,291,494,271,1007
2017,881,292,494,272,1008
2017,878,293,497,274,994
2017,876,295,493,274,996
2017,874,298,503,277,988
2017,882,297,502,278,978
2017,886,298,508,278,993
2017,882,298,500,278,976
2017,871,300,504,277,971
2017,879,300,504,277,964
2017,879,301,511,279,976
2017,884,298,507,280,972
2017,872,299,503,279,980
2017,870,294,499,274,971
2017,874,294,495,275,970
2017,881,293,490,279,984
2017,889,293,497,281,989
2017,877,295,500,283,1001
2017,873,292,492,278,983
2017,878,287,490,280,992
2017,880,289,486,297,997
2017,887,291,487,302,992
2017,892,296,499,304,988
2017,893,300,506,311,998
2017,888,296,508,305,996
2017,894,296,506,301,996
2017,897,302,517,308,1011
2017,890,303,517,309,1015
2017,887,303,520,313,1022
2017,893,296,515,299,1013
2017,872,307,525,298,998
2017,868,310,529,296,987
2017,866,304,545,296,988
2017,850,303,535,295,993
2017,854,302,541,291,999
2017,844,301,540,291,980
2017,840,302,520,293,994
2017,839,304,517,291,977
2017,838,304,511,293,980
2017,840,298,513,292,977
2017,839,298,512,289,962
2017,838,292,507,288,957
2017,836,290,507,284,959
2017,832,291,510,286,968
2017,827,290,503,280,965
2017,823,294,510,281,958
2017,825,293,514,275,960
2017,827,290,508,273,959
2017,824,290,517,275,949
2017,830,290,517,274,956
2017,831,293,512,272,948
2017,832,290,492,276,972
2017,837,288,493,280,975
2017,847,292,505,289,985
2017,847,290,508,295,998
2017,841,291,508,291,992
2017,845,292,512,290,983
2017,833,291,520,289,988
2017,830,288,510,286,983
2017,834,288,508,284,963
2017,836,290,510,284,968
2017,833,286,506,284,974
2017,832,287,508,285,977
2017,821,293,514,289,985
2017,819,291,516,289,979
