Date,TCS,Infosys,HCL,Wirpo
2015,1258,489,469,203
2015,1261,487,458,200
2015,1278,498,471,203
2015,1264,489,463,203
2015,1273,486,460,202
2015,1232,481,446,200
2015,1259,491,456,204
2015,1241,498,460,203
2015,1232,486,440,202
2015,1244,490,444,203
2015,1248,490,435,200
2015,1250,496,442,200
2015,1247,499,448,196
2015,1229,531,448,200
2015,1223,534,439,204
2015,1214,536,445,217
2015,1214,533,462,216
2015,1237,545,470,220
2015,1291,549,477,226
2015,1314,553,472,227
2015,1328,560,488,234
2015,1327,558,484,232
2015,1332,554,482,231
2015,1321,550,479,231
2015,1293,540,467,231
2015,1274,545,466,233
2015,1271,543,470,237
2015,1277,555,490,236
2015,1282,557,490,234
2015,1257,551,481,230
2015,1257,537,494,237
2015,1287,555,504,248
2015,1296,553,485,245
2015,1309,558,484,242
2015,1305,564,490,245
2015,1298,558,490,238
2015,1280,557,502,237
2015,1292,560,510,241
2015,1281,567,514,242
2015,1291,555,503,240
2015,1310,555,513,246
2015,1303,546,515,246
2015,1321,550,511,245
2015,1323,548,516,248
2015,1348,562,516,250
2015,1373,569,509,247
2015,1388,574,508,252
2015,1335,573,506,249
2015,1338,574,505,247
2015,1331,566,506,245
2015,1328,565,494,247
2015,1336,579,496,249
2015,1352,568,494,245
2015,1348,566,493,244
2015,1338,571,500,244
2015,1341,581,512,247
2015,1318,574,508,251
2015,1292,570,496,248
2015,1269,574,498,248
2015,1231,578,496,243
2015,1230,571,489,239
2015,1221,570,483,241
2015,1256,562,499,243
2015,1288,558,489,241
2015,1276,548,493,239
2015,1257,536,475,232
2015,1279,530,475,233
2015,1257,534,473,234
2015,1241,535,448,227
2015,1272,536,412,226
2015,1270,536,415,228
2015,1251,534,404,224
2015,1252,554,412,226
2015,1257,549,416,223
2015,1257,542,422,221
2015,1250,531,418,221
2015,1256,526,411,219
2015,1266,530,410,208
2015,1270,534,398,210
2015,1261,532,395,207
2015,1249,522,396,211
2015,1255,529,394,209
2015,1256,519,386,208
2015,1222,493,384,204
2015,1209,491,375,203
2015,1223,489,384,204
2015,1270,499,395,209
2015,1290,503,401,209
2015,1273,494,402,207
2016,1183,505,414,178
2016,1176,496,410,177
2016,1157,499,404,176
2016,1162,499,402,174
2016,1147,491,395,171
2016,1144,494,397,172
2016,1154,492,409,173
